grain_id,phase_id,phase_name,area_px,area_um2,centroid_x_px,centroid_y_px,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,perimeter_px,equiv_diameter_px
104,0,SecondPhase,125,15.312499999999998,82.104,205.648,196,71,213,90,61.66295090390226,12.6156626101008
105,0,SecondPhase,684,83.78999999999999,412.4298245614035,215.87280701754386,197,397,232,433,140.2670273047588,29.51094455619561
106,0,SecondPhase,158,19.354999999999997,178.54430379746836,213.08227848101265,203,167,221,187,59.25483399593904,14.183506197980657
107,0,SecondPhase,89,10.902499999999998,790.8314606741573,213.03370786516854,206,786,222,797,45.698484809834994,10.645107772184812
108,0,SecondPhase,374,45.81499999999999,57.6283422459893,222.2941176470588,209,43,241,71,137.9827560572969,21.821814538001895
109,0,SecondPhase,49,6.0024999999999995,955.9387755102041,216.14285714285714,212,953,221,960,23.899494936611667,7.898654169668588
110,0,SecondPhase,82,10.044999999999998,13.841463414634147,220.6829268292683,214,8,229,21,42.45584412271571,10.217907939900583
111,0,SecondPhase,56,6.859999999999999,493.75,221.08928571428572,217,490,226,498,25.31370849898476,8.444016491289505
112,0,SecondPhase,127,15.557499999999997,1011.4251968503937,230.50393700787401,220,1006,241,1020,68.56244584051393,12.716187407449045
113,0,SecondPhase,99,12.127499999999998,29.484848484848484,228.21212121212122,222,23,234,36,45.42031021678297,11.227230955528665
114,0,SecondPhase,47,5.757499999999999,607.1702127659574,228.0212765957447,222,601,234,612,28.9350288425444,7.735777827895049
115,0,SecondPhase,476,58.309999999999995,201.5189075630252,241.31512605042016,223,185,258,219,137.1959594928933,24.61832697999475
116,0,SecondPhase,680,83.29999999999998,445.1617647058824,257.0764705882353,226,431,287,464,267.27922061357856,29.42452872043851
117,0,SecondPhase,85,10.412499999999998,949.1176470588235,236.74117647058824,230,946,245,955,38.14213562373095,10.403141895720198
118,0,SecondPhase,166,20.334999999999997,21.08433734939759,246.63855421686748,237,13,255,33,76.73401871576773,14.538148590038452
119,0,SecondPhase,62,7.594999999999999,44.774193548387096,240.3709677419355,239,36,243,55,39.65685424949238,8.884866446580956
120,0,SecondPhase,7,0.8574999999999999,549.0,243.28571428571428,242,548,245,551,6.82842712474619,2.985410660720923
121,0,SecondPhase,315,38.58749999999999,633.2253968253968,257.5936507936508,243,623,273,645,92.04772721475248,20.026743534373637
122,0,SecondPhase,34,4.164999999999999,478.2352941176471,246.1764705882353,244,475,250,482,19.071067811865476,6.579524642479541
123,0,SecondPhase,4,0.48999999999999994,554.5,246.5,246,554,248,556,4.0,2.256758334191025
124,0,SecondPhase,491,60.147499999999994,669.6761710794298,259.4725050916497,247,648,274,696,121.05382386916237,25.003212122944625
125,0,SecondPhase,99,12.127499999999998,97.28282828282828,252.16161616161617,248,91,259,104,38.970562748477136,11.227230955528665
126,0,SecondPhase,375,45.93749999999999,808.4373333333333,266.448,249,790,282,825,117.98275605729688,21.850968611841584
127,0,SecondPhase,78,9.554999999999998,470.61538461538464,259.2692307692308,255,466,264,477,30.72792206135785,9.965574970333758
128,0,SecondPhase,66,8.084999999999999,540.7272727272727,260.0151515151515,255,537,266,545,30.48528137423857,9.166995688475081
129,0,SecondPhase,177,21.682499999999997,227.2316384180791,267.42937853107344,260,221,276,235,48.970562748477136,15.012108426804138
130,0,SecondPhase,642,78.645,398.2943925233645,279.303738317757,261,370,290,423,163.78174593052023,28.590554169515052
131,0,SecondPhase,73,8.942499999999999,1017.2739726027397,269.7671232876712,262,1014,277,1021,33.55634918610404,9.640875829802336
132,0,SecondPhase,167,20.457499999999996,13.808383233532934,273.77245508982037,264,0,284,24,73.49747468305831,14.581872443920643
133,0,SecondPhase,46,5.634999999999999,477.4130434782609,270.32608695652175,267,474,275,482,23.31370849898476,7.653039857325812
134,0,SecondPhase,31,3.7974999999999994,114.16129032258064,272.0967741935484,269,111,276,119,20.899494936611664,6.282549314314218
135,0,SecondPhase,106,12.984999999999998,845.5471698113207,275.0660377358491,269,837,282,853,42.87005768508881,11.617374563210365
136,0,SecondPhase,704,86.24,133.953125,308.2244318181818,270,111,343,163,235.41525958289964,29.93928254807644
137,0,SecondPhase,123,15.067499999999997,172.9430894308943,282.3170731707317,272,167,292,180,52.04163056034261,12.514330345744634
138,0,SecondPhase,406,49.73499999999999,429.07142857142856,287.9064039408867,273,419,307,440,110.22539674441617,22.736210219877808
139,0,SecondPhase,1236,151.40999999999997,55.182038834951456,320.48867313915855,278,33,364,72,268.1076477383248,39.67019129387532
140,0,SecondPhase,1211,148.34749999999997,203.83236994219652,295.8001651527663,278,161,328,249,362.01933598375615,39.26694651579471
141,0,SecondPhase,96,11.759999999999998,698.9791666666666,287.4895833333333,283,690,293,710,48.42031021678297,11.055812783082736
142,0,SecondPhase,971,118.94749999999999,791.7435633367662,322.3707518022657,283,763,370,812,322.1259377015544,35.16127981086358
143,0,SecondPhase,92,11.269999999999998,327.17391304347825,294.1195652173913,289,319,299,334,40.14213562373095,10.823032759612019
144,0,SecondPhase,5,0.6124999999999999,712.8,293.6,293,712,295,715,5.207106781186548,2.5231325220201604
145,0,SecondPhase,313,38.342499999999994,246.47603833865816,303.3897763578275,295,226,311,268,105.1543289325507,19.963065333312567
146,0,SecondPhase,195,23.887499999999996,756.1641025641026,311.33846153846156,295,745,325,769,81.9827560572969,15.756957549709801
147,0,SecondPhase,14,1.7149999999999999,27.642857142857142,300.35714285714283,298,26,303,30,11.65685424949238,4.222008245644752
148,0,SecondPhase,18,2.2049999999999996,733.5,300.5,299,729,303,739,18.0,4.787307364817192
149,0,SecondPhase,134,16.415,27.64179104477612,315.2985074626866,307,14,326,38,65.42640687119285,13.061933202803933
150,0,SecondPhase,374,45.81499999999999,725.2299465240642,324.48930481283423,311,700,340,750,128.95331880577405,21.821814538001895
151,0,SecondPhase,218,26.704999999999995,284.26146788990826,333.8302752293578,315,281,354,288,84.14213562373095,16.66031874701878
152,0,SecondPhase,864,105.83999999999999,491.1712962962963,328.5150462962963,316,428,338,549,275.61017305526644,33.16743834924821
153,0,SecondPhase,7,0.8574999999999999,936.0,321.0,320,935,323,938,6.82842712474619,2.985410660720923
154,0,SecondPhase,8,0.9799999999999999,696.5,324.5,324,695,326,699,8.0,3.1915382432114616
155,0,SecondPhase,4,0.48999999999999994,704.5,324.5,324,704,326,706,4.0,2.256758334191025
156,0,SecondPhase,5,0.6124999999999999,172.0,331.0,330,171,333,174,5.656854249492381,2.5231325220201604
157,0,SecondPhase,206,25.234999999999996,178.45631067961165,343.3203883495146,330,173,359,184,71.11269837220809,16.195287778099022
158,0,SecondPhase,405,49.61249999999999,761.5111111111111,344.00246913580247,332,736,356,784,185.99494936611666,22.708192698181442
159,0,SecondPhase,482,59.044999999999995,697.356846473029,358.9066390041494,333,651,390,731,234.93607486307093,24.77299861870477
160,0,SecondPhase,661,80.97249999999998,438.1981845688351,353.1043872919818,334,419,370,460,152.8528137423857,29.010538413996088
